stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1101,LanMahNB,Lancaster @ Mahrt,LANCASTER DR SE & MAHRT AV SE,44.925521,-122.983319,,,,,,0
1102,LanAmbNB,Lancaster @ Amber,LANCASTER DR NE & HUDSON AV NE,44.931333,-122.983221,,,,,,0
1103,LanMonNB,Lancaster @ Monroe,LANCASTER DR NE & MONROE AV NE,44.933336,-122.983157,,,,,,0
1104,LanAubNB,Lancaster @ Auburn,LANCASTER DR NE & MONROE AV NE,44.936427,-122.98304,,,,,,0
1105,LanDenNB,Lancaster @ Denver,LANCASTER DR NE & DENVER AV NE,44.941549,-122.983087,,,,,,0
1106,HyaSalNB,Hyacinth @ Salem Industrial Dr NE,HYACINTH ST NE & DENVER AV NE,44.982431,-123.005772,,,,,,0
1107,VerClaNB,Verda @ Claxter,VERDA LN NE & 18TH AV NE,44.987455,-123.00977,,,,,,0
1108,VerCheNB,Verda @ Chelan,VERDA LN NE & WIESSNER DR NE,44.990585,-123.011587,,,,,,0
1109,VerDeaNB,Verda @ Dearborn,VERDA LN NE & WIESSNER DR NE,44.993566,-123.011876,,,,,,0
1111,RiveClag,River Rd @ Claggett,RIVER RD N & CLAGGETT ST NE,45.000181,-123.026567,,,,,,0
1112,RiveKeCS,River Rd @ Keizer Creekside Shopping,5400 RIVER RD N & UNNAMED ST,45.003188,-123.026332,,,,,,0
